id_alumno,cod_departamento,cod_asignatura,seccion,id_docente
10000020,DA,CYT113,B,5976
10000020,DA,CYTB55,A,4379
10000020,DA,CYTB54,A,6367
10000020,DA,CYTB36,A,6875
10000021,DA,CYTB14,A,41336
10000021,DA,CYTB29,A,5231
10000022,DA,CYTB55,A,14328
10000022,DA,CYTB30,A,4176
10000023,DA,CYTB05,C,6283922
10000023,DA,CYTB15,A,2204113
10000023,DA,CYTB20,A,4695
10000023,DA,CYTB58,A,5275
10000024,DA,CYTB17,A,4366
10000024,DA,CYTB23,B,6334
10000025,DA,CYTB47,B,471994
10000025,DA,CYTB35,B,4695
10000025,DA,CYTB08,A,41336
10000025,DA,CYTB25,A,6397
10000025,DA,CYTB38,A,5837
10000026,DA,CYT906,A,5972
10000027,DA,CYTB55,A,4379
10000027,DA,CYTB19,B,6376
10000027,DA,CYTB30,A,4176
10000027,DA,CYTB12,A,28564
10000027,DA,CYTB56,A,4040
10000027,DA,CYTB37,B,5206
10000028,DA,CYTB42,A,3406
10000028,DA,CYTB45,B,52161
10000029,DA,CYTB30,A,4176
10000029,DA,CYTB09,A,5333
10000029,DA,CYTB42,A,3406
10000030,DA,CYTB05,A,1509649
10000031,DA,CYTB37,B,5206
10000031,DA,CYTP01,A,6680
10000031,DA,CYTB10,C,6367
10000031,DA,CYTB35,A,4695
10000031,DA,CYTB18,A,4484
10000032,DA,CYTB23,A,6334
10000032,DA,CYTB14,A,41336
10000032,DA,CYTB31,A,4366
10000033,DA,CYTP01,C,6239
10000033,DA,CYTB59,B,374772
10000033,DA,CYTB56,A,4040
10000033,DA,CYTB09,A,5333
10000033,DA,CYTB20,B,4695
10000033,DA,CYTB12,A,28564
10000034,DA,CYTB43,A,5275
10000034,DA,CYTB40,A,3757
10000035,DA,CYT748,A,5330
10000035,DA,CYTB57,A,383064
10000035,DA,CYTB54,A,6367
10000036,DA,CYTB07,A,4693
10000036,DA,CYTB05,C,6283922
10000036,DA,CYTB32,B,6040
10000037,DA,CYTB31,A,4366
10000037,DA,CYTB36,B,6875
10000037,DA,CYTB45,A,6374
10000037,DA,CYTB27,A,4366
10000037,DA,CYTB60,B,6460
10000037,DA,CYTB05,B,1123432
10000038,DA,CYTB09,A,5333
10000038,DA,CYTB07,B,41425
10000038,DA,CYTB24,A,4366
10000038,DA,CYTB26,A,6614
10000039,DA,CYTP01,B,1196209
10000039,DA,CYT067,A,5734
10000039,DA,CYTB49,A,5163
10000039,DA,CYTB36,A,6875
10000039,DA,CYTB56,A,4040
10000039,DA,CYTB55,A,4379
10000040,DA,CYTB16,A,6334
10000041,DA,CYT113,A,5976
10000041,DA,CYTB42,A,3406
10000041,DA,CYTB55,A,14328
10000041,DA,CYTB47,A,471994
10000042,DA,CYTB55,A,14328
10000042,DA,CYTB07,A,5942
10000042,DA,CYTB54,A,6367
10000042,DA,CYT082,A,6524
10000043,DA,CYTB52,A,434398
10000043,DA,CYTB50,A,4379
10000043,DA,CYTB55,A,4379
10000044,DA,CYTB17,A,4366
10000044,DA,CYTB30,A,4176
10000044,DA,CYTB32,A,6040
10000044,DA,CYTB21,C,488503
10000044,DA,CYTB55,A,14328
10000044,DA,CYTB10,B,6367
10000045,DA,CYTB16,A,6334
10000045,DA,CYTB38,B,5837
10000045,DA,CYTB60,A,6460
10000046,DA,CYTB27,A,4366
10000046,DA,CYT067,B,5980
10000046,DA,CYTB46,A,3757
10000046,DA,CYTB50,A,14328
10000046,DA,CYTB25,A,6397
10000047,DA,CYTB45,A,6374
10000048,DA,CYTB34,A,6512
10000049,DA,CYTB27,A,4366
10000049,DA,CYTB10,B,6367
10000049,DA,CYTB59,A,374772
10000050,DA,CYT748,A,5330
10000050,DA,CYTB24,A,4366
10000050,DA,CYTB22,B,13621
10000050,DA,CYTB60,A,6460
10000050,DA,CYTB42,A,3406
10000050,DA,CYTB29,A,5231
10000051,DA,CYTB59,A,374772
10000051,DA,CYTB15,A,2204113
10000051,DA,CYTB43,A,5275
10000051,DA,CYTB47,B,471994
10000051,DA,CYT748,A,5330
10000051,DA,CYTB16,A,6334
10000052,DA,CYTB50,B,14328
10000052,DA,CYTB38,B,5837
10000052,DA,CYT906,A,5972
10000052,DA,CYTB41,A,5239
10000053,DA,CYTB18,A,4484
10000053,DA,CYTB22,A,62587
10000053,DA,CYT082,A,6524
10000053,DA,CYTB50,A,4379
10000053,DA,CYT748,A,5330
10000053,DA,CYTB58,B,5275
10000054,DA,CYTB24,C,4366
10000054,DA,CYTP02,A,4414256
10000054,DA,CYT113,A,5976
10000054,DA,CYTB17,A,4366
10000054,DA,CYTB13,A,6367
10000054,DA,CYTB06,C,3793
10000055,DA,CYTB37,B,5206
10000055,DA,CYTB17,A,4366
10000055,DA,CYTB45,B,52161
10000055,DA,CYT908,A,1196209
10000055,DA,CYTB15,A,62587
10000055,DA,CYTB33,B,535914
10000056,DA,CYTB16,A,6334
10000056,DA,CYT113,B,5976
10000057,DA,CYTB19,C,13621
10000057,DA,CYTB57,C,3404829
10000057,DA,CYTB54,A,6367
10000057,DA,CYTB12,A,28564
10000057,DA,CYTB28,A,4695
10000058,DA,CYTB31,A,4366
10000058,DA,CYT748,A,5330
10000058,DA,CYTB14,A,41336
10000058,DA,CYTB47,A,471994
10000058,DA,CYTB55,A,14328
10000059,DA,CYTB33,A,5837
10000059,DA,CYTB40,A,3757
10000059,DA,CYTB19,A,1165913
10000059,DA,CYTB21,A,41336
10000059,DA,CYTB31,A,4366
10000060,DA,CYT748,A,5330
10000060,DA,CYTB35,B,4695
10000060,DA,CYTB11,B,4366
10000061,DA,CYT908,A,1196209
10000061,DA,CYTB13,A,6367
10000061,DA,CYTB45,A,6374
10000061,DA,CYTB18,A,4484
10000062,DA,CYTB28,A,4695
10000062,DA,CYTB29,A,5231
10000062,DA,CYTB08,C,523950
10000062,DA,CYTB18,A,4484
10000062,DA,CYTB53,A,5275
10000063,DA,CYTB59,A,374772
10000064,DA,CYTB48,A,3406
10000064,DA,CYTB15,A,62587
10000064,DA,CYTB54,A,6367
10000065,DA,CYTB21,C,488503
10000065,DA,CYTB27,A,4366
10000066,DA,CYTB32,B,6040
10000066,DA,CYTB42,A,3406
10000066,DA,CYTB43,A,5275
10000066,DA,CYT113,B,5976
10000067,DA,CYTB35,A,4695
10000067,DA,CYTB06,B,3793
10000067,DA,CYTB57,A,383064
10000067,DA,CYTB30,A,4176
10000067,DA,CYTB38,B,5837
10000068,DA,CYTB08,B,523950
10000068,DA,CYTB20,A,4695
10000069,DA,CYTB28,A,4695
10000069,DA,CYTB25,B,6397
10000070,DA,CYTB48,A,3406
10000070,DA,CYTB59,A,374772
10000070,DA,CYTB53,A,5275
10000071,DA,CYTB06,B,3793
10000071,DA,CYTB47,A,471994
10000071,DA,CYTB35,B,4695
10000071,DA,CYTB08,A,41336
10000072,DA,CYTB59,B,374772
10000073,DA,CYTB53,A,5275
10000073,DA,CYTB06,A,3793
10000074,DA,CYT082,A,6524
10000074,DA,CYTB42,A,3406
10000075,DA,CYT908,A,1196209
10000075,DA,CYTB20,B,4695
10000075,DA,CYTB49,B,5163
10000075,DA,CYTB26,A,6614
10000076,DA,CYTB38,A,5837
10000077,DA,CYTB37,B,5206
10000077,DA,CYTB43,A,5275
10000077,DA,CYTB57,B,4532
10000078,DA,CYTB38,A,5837
10000079,DA,CYT908,A,1196209
10000080,DA,CYT906,B,5205
10000080,DA,CYT113,B,5976
10000080,DA,CYTB12,A,28564
10000080,DA,CYTB50,A,14328
10000080,DA,CYTB37,A,5206
10000080,DA,CYTB58,A,5275
10000081,DA,CYTB54,A,6367
10000082,DA,CYTP01,C,6239
10000082,DA,CYTB27,A,4366
10000082,DA,CYTB60,A,6460
10000082,DA,CYTB26,A,6614
10000083,DA,CYTB34,B,434398
10000083,DA,CYTB60,A,6460
10000083,DA,CYTB41,A,5239
10000083,DA,CYTB21,A,41336
10000083,DA,CYTB39,A,6512
10000083,DA,CYT113,A,5976
10000084,DA,CYTB21,C,488503
10000085,DA,CYTB48,A,3406
10000085,DA,CYTB28,A,4695
10000086,DA,CYTB33,B,535914
10000087,DA,CYTB33,B,535914
10000087,DA,CYTB18,A,4484
10000088,DA,CYTB21,A,41336
10000088,DA,CYTB56,A,4040
10000088,DA,CYT906,B,5205
10000089,DA,CYTB19,C,13621
10000090,DA,CYTB36,A,6875
10000090,DA,CYTB48,A,3406
10000090,DA,CYTB19,A,1165913
10000090,DA,CYT908,A,1196209
10000091,DA,CYTB23,C,6334
10000092,DA,CYT908,A,1196209
10000092,DA,CYTB19,C,13621
10000092,DA,CYTB24,C,4366
10000092,DA,CYTB42,A,3406
10000093,DA,CYTB36,A,6875
10000093,DA,CYTB32,A,6040
10000093,DA,CYT067,C,5734
10000093,DA,CYT908,A,1196209
10000093,DA,CYTB28,A,4695
10000093,DA,CYTB21,C,488503
10000094,DA,CYTB47,B,471994
10000095,DA,CYTB18,A,4484
10000095,DA,CYTB47,B,471994
10000096,DA,CYTB38,A,5837
10000096,DA,CYTB48,A,3406
10000096,DA,CYTB34,A,6512
10000096,DA,CYT906,B,5205
10000096,DA,CYTB23,B,6334
10000096,DA,CYTP01,B,1196209
10000097,DA,CYTB45,B,52161
10000098,DA,CYTB07,C,5942
10000098,DA,CYTB61,B,4040
10000098,DA,CYTB08,A,41336
10000099,DA,CYTB55,A,4379
10000100,DA,CYTB23,C,6334
10000100,DA,CYT082,A,6524
10000100,DA,CYTB31,A,4366
10000100,DA,CYTB32,C,6040
10000100,DA,CYTB16,A,6334
10000101,DA,CYTB33,A,5837
10000101,DA,CYTB10,A,6367
10000101,DA,CYTB37,A,5206
10000101,DA,CYTB40,A,3757
10000102,DA,CYTB19,B,6376
10000103,DA,CYTB48,B,3406
10000103,DA,CYTB29,A,5231
10000103,DA,CYT906,B,5205
10000103,DA,CYTB50,B,14328
10000103,DA,CYTB39,A,6512
10000104,DA,CYTB27,A,4366
10000104,DA,CYTB24,B,4366
10000104,DA,CYTB37,A,5206
10000104,DA,CYTB39,A,6512
10000104,DA,CYTB08,C,523950
10000105,DA,CYTB19,B,6376
10000105,DA,CYTB16,A,6334
10000106,DA,CYTB29,A,5231
10000107,DA,CYT906,B,5205
10000107,DA,CYT082,A,6524
10000107,DA,CYTB23,A,6334
10000107,DA,CYTB07,B,5942
10000107,DA,CYTP02,A,4414256
10000107,DA,CYTB59,B,374772
10000108,DA,CYTB12,A,28564
10000108,DA,CYTB35,B,4695
10000108,DA,CYTP02,A,4414256
10000108,DA,CYTB41,A,5239
10000109,DA,CYTB14,A,41336
10000110,DA,CYTB47,B,471994
10000110,DA,CYTB52,A,434398
10000110,DA,CYTB37,B,5206
10000110,DA,CYTB57,C,3404829
10000110,DA,CYTB23,C,6334
10000111,DA,CYTB22,A,62587
10000111,DA,CYTB35,A,4695
10000111,DA,CYTB33,A,5837
10000112,DA,CYTB47,A,471994
10000112,DA,CYTB25,C,6397
10000112,DA,CYT906,A,5972
10000112,DA,CYTB20,B,4695
10000113,DA,CYTB52,A,434398
10000113,DA,CYTB21,A,41336
10000113,DA,CYTB37,B,5206
10000113,DA,CYTB07,A,4693
10000113,DA,CYTB48,B,3406
10000113,DA,CYTB57,A,383064
10000114,DA,CYTB52,A,434398
10000114,DA,CYTB33,B,535914
10000114,DA,CYTB11,C,4379
10000114,DA,CYT082,A,6524
10000114,DA,CYT067,B,5980
10000114,DA,CYTB29,A,5231
10000115,DA,CYTB33,A,5837
10000115,DA,CYTB23,A,6334
10000115,DA,CYTB42,A,3406
10000115,DA,CYTB30,A,4176
10000115,DA,CYTB52,A,434398
10000115,DA,CYTB48,A,3406
10000116,DA,CYTB61,B,4040
10000117,DA,CYTB52,A,434398
10000117,DA,CYTB05,A,1509649
10000117,DA,CYTB42,A,3406
10000117,DA,CYTB55,A,4379
10000117,DA,CYTB35,B,4695
10000118,DA,CYTB48,B,3406
10000118,DA,CYTB33,B,535914
10000118,DA,CYTB40,A,3757
10000118,DA,CYTB31,A,4366
10000118,DA,CYTB08,C,523950
10000119,DA,CYTB33,A,5837
10000119,DA,CYTB12,A,28564
10000119,DA,CYTB06,A,3793
10000119,DA,CYTB40,A,3757
10000119,DA,CYT906,B,5205
10000119,DA,CYT113,A,5976
10000120,DA,CYTB53,A,5275
10000120,DA,CYTB57,C,3404829
10000121,DA,CYTB41,A,5239
10000122,DA,CYTB58,A,5275
10000122,DA,CYTB45,A,6374
10000122,DA,CYTB23,C,6334
10000122,DA,CYTB22,B,13621
10000123,DA,CYTB28,A,4695
10000123,DA,CYTB36,A,6875
10000124,DA,CYTB57,B,4532
10000124,DA,CYT906,A,5972
10000125,DA,CYTB49,B,5163
10000125,DA,CYTB50,A,4379
10000125,DA,CYTB54,A,6367
10000126,DA,CYTB23,A,6334
10000127,DA,CYTB38,A,5837
10000127,DA,CYTB42,A,3406
10000127,DA,CYTB33,B,535914
10000127,DA,CYTB55,A,4379
10000127,DA,CYTB13,A,6367
10000128,DA,CYTB58,B,5275
10000128,DA,CYTB25,A,6397
10000128,DA,CYTB55,A,14328
10000128,DA,CYTB17,A,4366
10000129,DA,CYTB25,B,6397
10000130,DA,CYTB57,B,4532
10000130,DA,CYT113,A,5976
10000130,DA,CYTB15,A,62587
10000130,DA,CYTB59,B,374772
10000130,DA,CYTB42,A,3406
10000130,DA,CYTB50,B,4379
10000131,DA,CYTP01,A,6680
10000131,DA,CYTB34,A,6512
10000131,DA,CYTB57,B,4532
10000131,DA,CYTB28,A,4695
10000132,DA,CYT082,A,6524
10000133,DA,CYTB39,A,6512
10000133,DA,CYT908,A,1196209
10000133,DA,CYTB30,A,4176
10000134,DA,CYTB40,A,3757
10000134,DA,CYTB45,B,52161
10000134,DA,CYTB56,A,4040
10000135,DA,CYTB40,A,3757
10000135,DA,CYTB43,A,5275
10000136,DA,CYTB11,C,14328
10000136,DA,CYTB27,A,4366
10000136,DA,CYTP01,A,6680
10000136,DA,CYTB48,A,3406
10000136,DA,CYTB40,A,3757
10000136,DA,CYTB45,B,52161
10000137,DA,CYTB50,A,14328
10000137,DA,CYTB08,A,41336
10000137,DA,CYTB23,C,6334
10000138,DA,CYTB19,B,6376
10000138,DA,CYTB34,A,6512
10000139,DA,CYTB16,A,6334
10000139,DA,CYTB11,A,4366
10000140,DA,CYTB57,C,3404829
10000140,DA,CYTB38,A,5837
10000140,DA,CYTB13,A,6367
10000140,DA,CYTP02,A,4414256
10000141,DA,CYTB05,B,1123432
10000141,DA,CYT748,A,5330
10000141,DA,CYT113,A,5976
10000141,DA,CYTB28,A,4695
10000141,DA,CYTB60,A,6460
10000141,DA,CYTB23,A,6334
10000142,DA,CYTB20,B,4695
10000142,DA,CYTB28,A,4695
10000142,DA,CYTB54,A,6367
10000142,DA,CYTB24,B,4366
10000142,DA,CYTB17,A,4366
10000142,DA,CYTB15,A,2204113
10000143,DA,CYTB23,B,6334
10000143,DA,CYTB06,C,3793
10000143,DA,CYTB53,A,5275
10000143,DA,CYTB42,A,3406
10000143,DA,CYTB30,A,4176
10000143,DA,CYTB21,C,488503
10000144,DA,CYTB40,A,3757
10000144,DA,CYTB17,A,4366
10000145,DA,CYTP01,A,6680
10000145,DA,CYT748,A,5330
10000145,DA,CYTB40,A,3757
10000145,DA,CYTB41,A,5239
10000145,DA,CYTB07,C,6100
10000145,DA,CYTB24,C,4366
10000146,DA,CYTB47,A,471994
10000146,DA,CYTB29,A,5231
10000146,DA,CYTB16,A,6334
10000147,DA,CYTB22,A,62587
10000147,DA,CYTB57,B,4532
10000147,DA,CYTB21,A,41336
10000147,DA,CYTB53,A,5275
10000147,DA,CYTB14,A,41336
10000148,DA,CYTB60,B,6460
10000148,DA,CYTB10,A,6367
10000148,DA,CYTB13,A,6367
10000148,DA,CYTB48,B,3406
10000149,DA,CYTB05,C,6283922
10000149,DA,CYTB20,B,4695
10000149,DA,CYTB35,B,4695
10000149,DA,CYTB12,A,28564
10000150,DA,CYTB59,B,374772
10000150,DA,CYTB26,A,6614
10000150,DA,CYTP01,C,6239
10000150,DA,CYTB43,A,5275
10000150,DA,CYTP02,A,4414256
10000150,DA,CYT082,A,6524
10000151,DA,CYTB29,A,5231
10000151,DA,CYTB12,A,28564
10000151,DA,CYTB09,A,5333
10000151,DA,CYTB07,A,5942
10000151,DA,CYTB58,B,5275
10000151,DA,CYTB24,B,4366
10000152,DA,CYTB26,A,6614
10000152,DA,CYTB42,A,3406
10000152,DA,CYTB59,B,374772
10000152,DA,CYTB47,A,471994
10000153,DA,CYTB39,A,6512
10000153,DA,CYTB29,A,5231
10000153,DA,CYTB59,A,374772
10000153,DA,CYTB21,C,488503
10000154,DA,CYTB59,A,374772
10000154,DA,CYTB19,C,13621
10000154,DA,CYTB54,A,6367
10000154,DA,CYTB26,A,6614
10000155,DA,CYTB21,A,41336
10000155,DA,CYTB17,A,4366
10000155,DA,CYTB60,B,6460
10000155,DA,CYTB12,A,28564
10000156,DA,CYTB50,B,14328
10000157,DA,CYTB09,A,5333
10000157,DA,CYTB50,B,4379
10000158,DA,CYTB18,A,4484
10000158,DA,CYTB38,B,5837
10000158,DA,CYTB52,A,434398
10000158,DA,CYTB55,A,4379
10000158,DA,CYTP02,A,4414256
10000159,DA,CYTB35,A,4695
10000159,DA,CYTB20,A,4695
10000160,DA,CYTB55,A,14328
10000160,DA,CYTB06,C,3793
10000160,DA,CYTB09,A,5333
10000160,DA,CYTB05,B,1123432
10000160,DA,CYT067,C,5734
10000160,DA,CYTB50,B,4379
10000161,DA,CYTB47,B,471994
10000161,DA,CYTB29,A,5231
10000162,DA,CYTB31,A,4366
10000162,DA,CYTB49,B,5163
10000162,DA,CYTB26,A,6614
10000162,DA,CYTB22,A,6123
10000163,DA,CYTB50,A,14328
10000163,DA,CYTB57,A,383064
10000163,DA,CYTB55,A,14328
10000163,DA,CYTB34,A,6512
10000163,DA,CYTB24,C,4366
10000164,DA,CYTB43,A,5275
10000164,DA,CYTP01,B,1196209
10000164,DA,CYTB33,A,5837
10000164,DA,CYTB45,B,52161
10000165,DA,CYTB13,A,6367
10000165,DA,CYTB10,B,6367
10000165,DA,CYTB09,A,5333
10000165,DA,CYTB21,C,488503
10000165,DA,CYTB39,A,6512
10000166,DA,CYTB50,A,4379
10000167,DA,CYTB41,A,5239
10000167,DA,CYTB56,A,4040
10000167,DA,CYTB49,B,5163
10000167,DA,CYTB36,B,6875
10000167,DA,CYTB46,A,3757
10000167,DA,CYTB55,A,14328
10000168,DA,CYTB30,A,4176
10000168,DA,CYTB29,A,5231
10000168,DA,CYTB46,A,3757
10000168,DA,CYTP01,A,6680
10000169,DA,CYTB60,A,6460
10000169,DA,CYTB13,A,4693
10000169,DA,CYTB43,A,5275
10000170,DA,CYTB11,C,4379
10000171,DA,CYTB47,B,471994
10000172,DA,CYTB36,A,6875
10000172,DA,CYTB08,B,523950
10000173,DA,CYT067,B,5980
10000173,DA,CYTB55,A,4379
10000173,DA,CYTB59,A,374772
10000174,DA,CYTB24,A,4366
10000174,DA,CYT067,A,5734
10000174,DA,CYTP01,B,1196209
10000174,DA,CYTB37,A,5206
10000174,DA,CYTB22,A,6123
10000175,DA,CYTB54,A,6367
10000175,DA,CYTB36,A,6875
10000175,DA,CYTB26,A,6614
10000176,DA,CYTB54,A,6367
10000176,DA,CYTB36,A,6875
10000176,DA,CYTB61,A,4040
10000176,DA,CYTB49,A,5163
10000177,DA,CYT908,A,1196209
10000177,DA,CYTB48,A,3406
10000177,DA,CYTB24,A,4366
10000178,DA,CYTB55,A,14328
10000178,DA,CYTB13,A,4693
10000179,DA,CYTB47,A,471994
10000179,DA,CYTB40,A,3757
10000180,DA,CYTB34,B,434398
10000180,DA,CYTB18,A,4484
10000180,DA,CYTB15,A,2204113
10000180,DA,CYTB29,A,5231
10000180,DA,CYTB28,A,4695
10000180,DA,CYTB32,C,6040
10000181,DA,CYTB14,A,41336
10000181,DA,CYTB48,B,3406
10000182,DA,CYTB31,A,4366
10000182,DA,CYTB27,A,4366
10000183,DA,CYTB21,B,41336
10000183,DA,CYTB18,A,4484
10000183,DA,CYTB48,A,3406
10000183,DA,CYTB22,B,13621
10000184,DA,CYTB43,A,5275
10000184,DA,CYTB38,B,5837
10000184,DA,CYTB33,A,5837
10000185,DA,CYT906,B,5205
10000185,DA,CYTB08,B,523950
10000185,DA,CYTB05,A,1509649
10000185,DA,CYTB18,A,4484
10000186,DA,CYTB25,A,6397
10000186,DA,CYTB12,A,28564
10000186,DA,CYTB05,B,1123432
10000187,DA,CYTB15,A,62587
10000187,DA,CYTB35,B,4695
10000188,DA,CYTB30,A,4176
10000189,DA,CYTB06,A,3793
10000189,DA,CYTB28,A,4695
10000189,DA,CYTB57,C,3404829
10000189,DA,CYTB10,A,6367
10000190,DA,CYTB12,A,28564
10000190,DA,CYTB30,A,4176
10000190,DA,CYTB06,C,3793
10000191,DA,CYTB57,A,383064
10000191,DA,CYTB26,A,6614
10000191,DA,CYTB11,C,14328
10000191,DA,CYTB27,A,4366
10000191,DA,CYTB54,A,6367
10000191,DA,CYTP01,A,6680
10000192,DA,CYTB32,B,6040
10000192,DA,CYTP02,A,4414256
10000192,DA,CYTB61,B,4040
10000192,DA,CYTB49,B,5163
10000192,DA,CYTB14,A,41336
10000192,DA,CYTB10,C,6367
10000193,DA,CYTB13,A,6367
10000194,DA,CYTB16,A,6334
10000194,DA,CYT906,A,5972
10000195,DA,CYTB59,A,374772
10000195,DA,CYTB49,B,5163
10000196,DA,CYTB48,A,3406
10000196,DA,CYTB38,A,5837
10000196,DA,CYTB31,A,4366
10000196,DA,CYTB43,A,5275
10000196,DA,CYTB58,B,5275
10000197,DA,CYTB31,A,4366
10000197,DA,CYTB40,A,3757
10000197,DA,CYTB24,B,4366
10000197,DA,CYTB50,B,4379
10000198,DA,CYTB31,A,4366
10000198,DA,CYTB07,B,5942
10000199,DA,CYTB10,C,6367
10000199,DA,CYTB41,A,5239
10000199,DA,CYTB55,A,14328
10000200,DA,CYTB36,B,6875
10000200,DA,CYTB60,A,6460
10000200,DA,CYTB50,B,14328
10000200,DA,CYTB47,B,471994
10000200,DA,CYT748,A,5330
10000201,DA,CYTB13,A,6367
10000201,DA,CYTB60,B,6460
10000201,DA,CYTB08,C,523950
10000201,DA,CYTB31,A,4366
10000201,DA,CYTP01,C,6239
10000202,DA,CYTB31,A,4366
10000202,DA,CYTB61,B,4040
10000202,DA,CYTB34,A,6512
10000202,DA,CYTB59,A,374772
10000202,DA,CYTB39,A,6512
10000202,DA,CYTB14,A,41336
10000203,DA,CYT906,A,5972
10000203,DA,CYTB08,B,523950
10000203,DA,CYTB50,A,4379
10000203,DA,CYTB40,A,3757
10000203,DA,CYTB41,A,5239
10000203,DA,CYTB32,A,6040
10000204,DA,CYTB54,A,6367
10000204,DA,CYTB57,A,383064
10000204,DA,CYT906,A,5972
10000204,DA,CYTB55,A,14328
10000204,DA,CYTB13,A,6367
10000205,DA,CYT908,A,1196209
10000205,DA,CYTB30,A,4176
10000205,DA,CYTB09,A,5333
10000205,DA,CYT906,B,5205
10000205,DA,CYTB45,A,6374
10000206,DA,CYT908,A,1196209
10000206,DA,CYTB53,A,5275
10000206,DA,CYTB59,A,374772
10000206,DA,CYTB47,A,471994
10000206,DA,CYTB43,A,5275
10000206,DA,CYTB34,A,6512
10000207,DA,CYTB59,A,374772
10000207,DA,CYTB18,A,4484
10000208,DA,CYTP02,A,4414256
10000208,DA,CYTB09,A,5333
10000209,DA,CYTB54,A,6367
10000209,DA,CYTB50,B,4379
10000209,DA,CYTP01,C,6239
10000210,DA,CYTB15,A,62587
10000210,DA,CYTB13,A,6367
10000210,DA,CYTB14,A,41336
10000210,DA,CYTB16,A,6334
10000210,DA,CYTB53,A,5275
10000211,DA,CYTB46,A,3757
10000211,DA,CYTB19,A,1165913
10000211,DA,CYTB39,A,6512
10000211,DA,CYTB23,C,6334
10000211,DA,CYTB48,A,3406
10000212,DA,CYTB26,A,6614
10000212,DA,CYTB43,A,5275
10000213,DA,CYTB49,B,5163
10000213,DA,CYTB15,A,62587
10000213,DA,CYTB22,A,6123
10000214,DA,CYTB09,A,5333
10000214,DA,CYTB55,A,14328
10000214,DA,CYTB20,A,4695
10000214,DA,CYTB08,A,41336
10000214,DA,CYTB41,A,5239
10000215,DA,CYTB48,B,3406
10000216,DA,CYT748,A,5330
10000216,DA,CYTB22,B,13621
10000217,DA,CYTB59,B,374772
10000218,DA,CYTB56,A,4040
10000218,DA,CYT067,A,5734
10000218,DA,CYTB58,B,5275
10000218,DA,CYTB06,A,3793
10000219,DA,CYTB15,A,62587
10000219,DA,CYTB11,B,4366
10000220,DA,CYTB25,C,6397
10000221,DA,CYTB41,A,5239
10000221,DA,CYTB32,B,6040
10000221,DA,CYTB50,A,14328
10000221,DA,CYTB13,A,6367
10000221,DA,CYTB09,A,5333
10000221,DA,CYTB07,B,41425
10000222,DA,CYTB06,C,3793
10000223,DA,CYTB53,A,5275
10000223,DA,CYTB13,A,4693
10000224,DA,CYTB19,A,1165913
10000224,DA,CYTB24,A,4366
10000224,DA,CYTB12,A,28564
10000225,DA,CYTB50,A,4379
10000225,DA,CYTB39,A,6512
10000225,DA,CYTB10,B,6367
10000225,DA,CYTB12,A,28564
10000225,DA,CYTB53,A,5275
10000226,DA,CYTB05,A,1509649
10000226,DA,CYTB39,A,6512
10000226,DA,CYT067,C,5734
10000226,DA,CYTB19,C,13621
